0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
3037,2021-11-01,PHI,POR,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Anfernee Simons,Ben McLemore,CJ Elleby,CJ McCollum,Cody Zeller,Damian Lillard,Jusuf Nurkic,Keljin Blevins,Larry Nance Jr,Nassir Little,Norman Powell,Robert Covington,Tony Snell,none,none,,,,,,,,,,
3038,2021-11-04,PHI,DET,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Cory Joseph,Frank Jackson,Hamidou Diallo,Isaiah Stewart,Jerami Grant,Josh Jackson,Kelly Olynyk,Killian Hayes,Rodney McGruder,Saben Lee,Saddiq Bey,Trey Lyles,none,none,none,,,,,,,,,,
3039,2021-11-09,PHI,MIL,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Bobby Portis,Brook Lopez,Donte DiVincenzo,George Hill,Giannis Antetokounmpo,Grayson Allen,Jordan Nwora,Jrue Holiday,Justin Robinson,Khris Middleton,Pat Connaughton,Rodney Hood,Semi Ojeleye,Thanasis Antetokounmpo,none,,,,,,,,,,
3040,2021-11-11,PHI,TOR,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Chris Boucher,Fred VanVleet,Gary Trent Jr,Goran Dragic,Isaac Bonga,Khem Birch,Malachi Flynn,OG Anunoby,Pascal Siakam,Precious Achiuwa,Svi Mykhailiuk,Yuta Watanabe,none,none,none,,,,,,,,,,
3041,2021-11-13,PHI,IND,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Brad Wanamaker,Caris LeVert,Domantas Sabonis,Goga Bitadze,Jeremy Lamb,Justin Haliday,Kelan Martin,Malcolm Brogdon,Myles Turner,Oshae Brissett,T.J. McConnell,T.J. Warren,Torrey Craig,none,none,,,,,,,,,,
3042,2021-11-16,PHI,UTA,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Bojan Bogdanovic,Donovan Mitchell,Elijah Hughes,Eric Paschall,Hassan Whiteside,Joe Ingles,Jordan Clarkson,Malik Fitts,Mike Conley,Miye Oni,Royce O'Neale,Rudy Gay,Rudy Gobert,Trent Forrest,Udoka Azubuike,,,,,,,,,,
3043,2021-11-20,PHI,POR,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Anfernee Simons,Ben McLemore,CJ Elleby,CJ McCollum,Cody Zeller,Damian Lillard,Jusuf Nurkic,Keljin Blevins,Larry Nance Jr,Nassir Little,Norman Powell,Robert Covington,Tony Snell,none,none,,,,,,,,,,
3044,2021-11-24,PHI,GSW,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Andre Iguodala,Andrew Wiggins,Chris Chiozza,Damion Lee,Draymond Green,Gary Payton II,Jordan Poole,Juan Toscano-Anderson,Kevon Looney,Klay Thompson,Nemanja Bjelica,Otto Porter Jr,Stephen Curry,none,none,,,,,,,,,,
3045,2021-11-27,PHI,MIN,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Anthony Edwards,D'Angelo Russell,Jaden McDaniels,Jaden McLaughlin,Jake Layman,Jarred Vanderbilt,Jaylen Nowell,Jordan McLaughlin,Josh Okogie,Karl Anthony Towns,Leandro Bolmaro,Malik Beasley,Nathan Knight,Naz Reid,Patrick Beverley,Taurean Prince,,,,,,,,,
3046,2021-11-29,PHI,ORL,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Chuma Okeke,Cole Anthony,E'Twaun Moore,Gary Harris,Ignas Brazdeikis,Jalen Suggs,Jonathan Isaac,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Mychal Mulder,R.J. Hampton,Robin Lopez,Terrence Ross,Wendell Carter Jr,,,,,,,,,
3047,2021-12-03,PHI,ATL,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Bogdan Bogdanovic,Cam Reddish,Clint Capela,Danilo Gallinari,De'Andre Hunter,Delon Wright,Gorgui Dieng,John Collins,Kevin Huerter,Lou Williams,Onyeka Okongwu,Skylar Mays,Solomon Hill,Timothe Luwawu-Cabarrot,Trae Young,,,,,,,,,,
3048,2021-12-06,PHI,CHO,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Cody Martin,Gordon Hayward,Ish Smith,Jalen McDaniels,Kelly Oubre Jr,LaMelo Ball,Mason Plumlee,Miles Bridges,Nick Richards,P.J. Washington,Terry Rozier,Vernon Carey Jr,none,none,none,,,,,,,,,,
3049,2021-12-08,PHI,CHO,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Cody Martin,Gordon Hayward,Ish Smith,Jalen McDaniels,Kelly Oubre Jr,LaMelo Ball,Mason Plumlee,Miles Bridges,Nick Richards,P.J. Washington,Terry Rozier,Vernon Carey Jr,none,none,none,,,,,,,,,,
3050,2021-12-09,PHI,UTA,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Bojan Bogdanovic,Donovan Mitchell,Elijah Hughes,Eric Paschall,Hassan Whiteside,Joe Ingles,Jordan Clarkson,Malik Fitts,Mike Conley,Miye Oni,Royce O'Neale,Rudy Gay,Rudy Gobert,Trent Forrest,Udoka Azubuike,,,,,,,,,,
3051,2021-12-11,PHI,GSW,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Andre Iguodala,Andrew Wiggins,Chris Chiozza,Damion Lee,Draymond Green,Gary Payton II,Jordan Poole,Juan Toscano-Anderson,Kevon Looney,Klay Thompson,Nemanja Bjelica,Otto Porter Jr,Stephen Curry,none,none,,,,,,,,,,
3052,2021-12-13,PHI,MEM,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Brandon Clarke,De'Anthony Melton,Desmond Bane,Dillon Brooks,Ja Morant,Jaren Jackson Jr,Jarrett Culver,John Konchar,Killian Tillie,Kyle Anderson,Steven Adams,Tyus Jones,Xavier Tillman,none,none,,,,,,,,,,
3053,2021-12-15,PHI,MIA,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Bam Adebayo,Caleb Martin,Dewayne Dedmon,Duncan Robinson,Gabe Vincent,Jimmy Butler,Kyle Lowry,KZ Okpala,Markieff Morris,Max Strus,Omer Yurtseven,P.J. Tucker,Tyler Herro,Udonis Haslem,Victor Oladipo,,,,,,,,,,
3054,2021-12-16,PHI,BRK,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,none,Blake Griffin,Bruce Brown,DeAndre' Bembry,Jalen Johnson,James Harden,James Johnson,Jevon Carter,Joe Harris,Kevin Durant,Kyrie Irving,LaMarcus Aldridge,Langston Galloway,Nic Claxton,Patty Mills,Paul Millsap,,,,,,,,,,
3055,2021-12-23,PHI,ATL,0.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Myles Powell,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,Bogdan Bogdanovic,Cam Reddish,Clint Capela,Danilo Gallinari,De'Andre Hunter,Delon Wright,Gorgui Dieng,John Collins,Kevin Huerter,Lance Stephenson,Lou Williams,Onyeka Okongwu,Skylar Mays,Solomon Hill,Timothe Luwawu-Cabarrot,Trae Young,,,,,,,,,
3056,2021-12-28,PHI,TOR,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Myles Powell,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,Chris Boucher,Fred VanVleet,Gary Trent Jr,Goran Dragic,Isaac Bonga,Khem Birch,Malachi Flynn,OG Anunoby,Pascal Siakam,Precious Achiuwa,Svi Mykhailiuk,Tremont Waters,Yuta Watanabe,none,none,,,,,,,,,,
3057,2021-12-30,PHI,BRK,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Myles Powell,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,Blake Griffin,Bruce Brown,DeAndre' Bembry,Jalen Johnson,James Harden,James Johnson,Jevon Carter,Joe Harris,Kevin Durant,Kyrie Irving,LaMarcus Aldridge,Langston Galloway,Nic Claxton,Patty Mills,Paul Millsap,Shaquille Harrison,Wenyen Gabriel,,,,,,,,
3058,2022-01-03,PHI,HOU,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Myles Powell,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,Christian Wood,D.J. Augustin,Daniel Theis,David Nwaba,Eric Gordon,Garrison Mathews,John Wall,Trevelin Queen,none,none,none,none,none,none,none,,,,,,,,,,
3059,2022-01-05,PHI,ORL,1.0,Andre Drummond,Ben Simmons,Danny Green,Furkan Korkmaz,Georges Niang,Isaiah Joe,Isaiah Todd,Joel Embiid,Matisse Thybulle,Myles Powell,Paul Reed,Seth Curry,Shake Milton,Tobias Harris,Tyrese Maxey,Chuma Okeke,Cole Anthony,E'Twaun Moore,Freddie Gillespie,Gary Harris,Ignas Brazdeikis,Jalen Suggs,Jonathan Isaac,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Mychal Mulder,R.J. Hampton,Robin Lopez,Terrence Ross,Tim Frazier,,,Wendell Carter Jr,,,,,
3060,2016-10-25,GSW,SAS,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Bryn Forbes,Danny Green,Davis Bertans,Dejounte Murray,Dewayne Dedmon,Kawhi Leonard,Kyle Anderson,LaMarcus Aldridge,Patty Mills,none,none,none,none,none,none,,,,,,,,,,
3061,2016-10-28,GSW,NOP,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Anthony Davis,Buddy Hield,Cade Cunningham,E'Twaun Moore,Jrue Holiday,Lance Stephenson,Langston Galloway,Solomon Hill,Tim Frazier,none,none,none,none,none,none,,,,,,,,,,
3062,2016-11-01,GSW,POR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Mason Plumlee,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
3063,2016-11-03,GSW,OKC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Cameron Payne,Domantas Sabonis,Enes Freedom,Jerami Grant,Russell Westbrook,Steven Adams,Victor Oladipo,none,none,none,none,none,none,none,none,,,,,,,,,,
3064,2016-11-04,GSW,LAL,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Brandon Ingram,D'Angelo Russell,Ivica Zubac,Jordan Clarkson,Julius Randle,Larry Nance Jr,Lou Williams,none,none,none,none,none,none,none,none,,,,,,,,,,
3065,2016-11-07,GSW,NOP,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Anthony Davis,Buddy Hield,Cade Cunningham,E'Twaun Moore,Jrue Holiday,Langston Galloway,Solomon Hill,Tim Frazier,none,none,none,none,none,none,none,,,,,,,,,,
3066,2016-11-09,GSW,DAL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3067,2016-11-10,GSW,DEN,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
3068,2016-11-16,GSW,TOR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
3069,2016-11-19,GSW,MIL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3070,2016-11-21,GSW,IND,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Armoni Brooks,Georges Niang,Myles Turner,Paul George,Thaddeus Young,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3071,2016-11-23,GSW,LAL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Brandon Ingram,D'Angelo Russell,Ivica Zubac,Jordan Clarkson,Julius Randle,Larry Nance Jr,Lou Williams,none,none,none,none,none,none,none,none,,,,,,,,,,
3072,2016-11-25,GSW,LAL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Brandon Ingram,D'Angelo Russell,Ivica Zubac,Jordan Clarkson,Julius Randle,Larry Nance Jr,Lou Williams,none,none,none,none,none,none,none,none,,,,,,,,,,
3073,2016-11-26,GSW,MIN,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Andrew Wiggins,Gorgui Dieng,Karl Anthony Towns,Nemanja Bjelica,Ricky Rubio,Tyus Jones,Zach Lavine,none,none,none,none,none,none,none,none,,,,,,,,,,
3074,2016-11-28,GSW,ATL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
3075,2016-12-01,GSW,HOU,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3076,2016-12-05,GSW,IND,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Armoni Brooks,Georges Niang,Myles Turner,Paul George,Thaddeus Young,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3077,2016-12-07,GSW,LAC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3078,2016-12-10,GSW,MEM,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3079,2016-12-11,GSW,MIN,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Andrew Wiggins,Gorgui Dieng,Karl Anthony Towns,Nemanja Bjelica,Ricky Rubio,Tyus Jones,Zach Lavine,none,none,none,none,none,none,none,none,,,,,,,,,,
3080,2016-12-13,GSW,NOP,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Anthony Davis,Buddy Hield,Cade Cunningham,E'Twaun Moore,Jrue Holiday,Langston Galloway,Solomon Hill,Tim Frazier,none,none,none,none,none,none,none,,,,,,,,,,
3081,2016-12-15,GSW,NYK,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Carmelo Anthony,Derrick Rose,Justin Haliday,Kristaps Porzingis,Willy Hernangomez,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3082,2016-12-17,GSW,POR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Mason Plumlee,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
3083,2016-12-22,GSW,BRK,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Bojan Bogdanovic,Brook Lopez,Caris LeVert,Joe Harris,Spencer Dinwiddie,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3084,2016-12-25,GSW,CLE,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3085,2016-12-28,GSW,TOR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
3086,2016-12-30,GSW,DAL,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3087,2017-01-02,GSW,DEN,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
3088,2017-01-04,GSW,POR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Mason Plumlee,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
3089,2017-01-06,GSW,MEM,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3090,2017-01-08,GSW,SAC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Ben McLemore,DeMarcus Cousins,Garrett Temple,Rudy Gay,Willie Cauley Stein,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3091,2017-01-10,GSW,MIA,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
3092,2017-01-16,GSW,CLE,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3093,2017-01-18,GSW,OKC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Cameron Payne,Domantas Sabonis,Enes Freedom,Jerami Grant,Russell Westbrook,Steven Adams,Victor Oladipo,none,none,none,none,none,none,none,none,,,,,,,,,,
3094,2017-01-20,GSW,HOU,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3095,2017-01-23,GSW,MIA,0.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
3096,2017-01-25,GSW,CHO,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Christian Wood,Cody Zeller,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Nicolas Batum,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3097,2017-01-28,GSW,LAC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3098,2017-01-29,GSW,POR,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Mason Plumlee,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
3099,2017-02-01,GSW,CHO,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Christian Wood,Cody Zeller,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Nicolas Batum,none,none,none,none,none,none,none,none,none,,,,,,,,,,
3100,2017-02-02,GSW,LAC,1.0,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
