0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
26,2016-12-14,ORL,LAC,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Austin Rivers,Blake Griffin,Chris Paul,DeAndre Jordan,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
27,2016-12-16,ORL,BRK,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bojan Bogdanovic,Brook Lopez,Caris LeVert,Joe Harris,Spencer Dinwiddie,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
28,2016-12-18,ORL,TOR,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
29,2016-12-20,ORL,MIA,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
30,2016-12-22,ORL,NYK,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Carmelo Anthony,Derrick Rose,Justin Haliday,Kristaps Porzingis,Willy Hernangomez,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
31,2016-12-23,ORL,LAL,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Brandon Ingram,D'Angelo Russell,Ivica Zubac,Jordan Clarkson,Julius Randle,Lou Williams,none,none,none,none,none,none,none,none,none,,,,,,,,,,
32,2016-12-26,ORL,MEM,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
33,2016-12-28,ORL,CHO,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Christian Wood,Cody Zeller,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Nicolas Batum,none,none,none,none,none,none,none,none,none,,,,,,,,,,
34,2017-01-01,ORL,IND,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Armoni Brooks,Georges Niang,Myles Turner,Paul George,Thaddeus Young,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
35,2017-01-02,ORL,NYK,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Carmelo Anthony,Derrick Rose,Justin Haliday,Kristaps Porzingis,Willy Hernangomez,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
